"Mean Hourly Temperature (°C) for all sites, 01/01/06 thru 12/31/06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Bald Mesa,Beaver Basin,Burro Pass Tr,Dry Fk Mill Cr,E Mt Peale,Geyser Pass,Gold Basin,Grand-view,Horse Cr,La Sal Pass,L. Beaver,Mellenthin Meadows,Moonlight Meadows,Mt Mellenthin,N Peale RG,Wet Fk Mill Cr,Upper Dk Can,Upper Dk Can 2,Boren Mesa,Brumley Ridge,Chicken Creek,Clark Lake,Dinosaur Tracks,East Dark Canyon,Hwy 46 La Sal,Lower Geyser Pass Rd,La Sal Pass Junction,South Beaver Mesa,Warner Meadows
Logger S/N,532797,532798,533551,555505,533560,555501,441384,555497,532800,555506,710738,695788,625100,555494,532801,555502,555498,710739,733938,1001871,1001873,733939,625102,1001872,984395,733937,1001874,710736,733935
Elevation (m),2707.00,3378,3329,3232,3073,3207,3186,2204,3037,3091,3125,3195,3280,3445,3223,2988,3518,3512,2866,2354,2473,2863,2598,3253,2317,2503,2377,2537,2869
Date/Time,BMS,UBB,BPT,DFM,EMP,GEP,GOB,GRV,HCR,LSP,LBB,MEM,MOM,MEL,NPE,WFM,UDC,UD2,BOR,BRR,CCR,CLK,DIN,EDC,HWY,LGP,LPJ,SBM,WME
01/01/06 00:00:00.0,-0.39,-4.82,-4.17,-3.85,-3.29,-3.85,-3.85,4.01,-2.44,-4.01,-2.52,-3.37,-4.25,-4.90,-3.37,-2.44,,-3.37,,,,,,,,,,,
01/01/06 01:00:00.0,-0.46,-5.15,-4.66,-4.25,-3.37,-4.25,-4.25,3.52,-2.98,-4.58,-3.14,-3.85,-4.58,-5.31,-3.85,-2.82,,-3.37,,,,,,,,,,,
01/01/06 02:00:00.0,-1.74,-5.56,-4.98,-4.66,-3.77,-4.66,-4.74,1.46,-3.61,-4.98,-3.61,-4.33,-4.98,-5.89,-4.25,-3.29,,-3.21,,,,,,,,,,,
01/01/06 03:00:00.0,-2.36,-6.65,-5.81,-5.64,-4.66,-5.64,-5.56,0.80,-4.25,-5.31,-4.66,-5.39,-5.73,-6.74,-5.23,-4.09,,-2.98,,,,,,,,,,,
01/01/06 04:00:00.0,-2.90,-6.91,-6.40,-5.81,-4.82,-5.89,-5.98,0.22,-4.49,-5.81,-4.82,-5.81,-5.98,-7.33,-5.39,-4.33,,-3.37,,,,,,,,,,,
01/01/06 05:00:00.0,-3.14,-7.42,-6.82,-6.23,-5.31,-6.40,-6.40,-0.16,-4.82,-6.57,-5.31,-6.06,-6.40,-7.76,-5.89,-4.82,,-3.37,,,,,,,,,,,
01/01/06 06:00:00.0,-3.85,-7.85,-7.25,-6.82,-5.81,-6.91,-6.99,-0.46,-5.39,-6.82,-5.73,-6.65,-6.99,-8.12,-6.40,-5.39,,-3.37,,,,,,,,,,,
01/01/06 07:00:00.0,-4.33,-8.65,-7.94,-7.42,-6.40,-7.50,-7.68,-0.99,-5.81,-7.16,-6.48,-7.33,-7.68,-8.91,-7.08,-5.81,,-3.14,,,,,,,,,,,
01/01/06 08:00:00.0,-4.82,-8.91,-8.38,-7.85,-6.82,-7.85,-7.85,-1.06,-6.23,-7.85,-6.82,-7.76,-7.85,-9.19,-7.42,-6.23,,-2.90,,,,,,,,,,,
01/01/06 09:00:00.0,-5.23,-9.46,-8.82,-8.20,-7.08,-8.38,-8.56,-1.51,-6.65,-7.85,-7.25,-8.12,-8.47,-9.74,-8.03,-6.65,,-2.90,,,,,,,,,,,
01/01/06 10:00:00.0,-5.89,-9.92,-9.37,-8.38,-7.33,-8.91,-8.91,-1.66,-6.91,-7.85,-7.42,-8.38,-8.82,-10.01,-8.38,-6.82,,-2.90,,,,,,,,,,,
01/01/06 11:00:00.0,-5.31,-9.83,-9.46,-8.91,-7.16,-8.91,-8.91,-1.44,-7.33,-7.42,-7.33,-8.38,-8.82,-10.01,-8.38,-7.08,,-2.90,,,,,,,,,,,
01/01/06 12:00:00.0,-4.58,-9.83,-9.09,-8.47,-6.57,-8.91,-8.91,-1.06,-6.99,-7.94,-7.16,-8.29,-8.38,-10.01,-8.29,-6.74,,-2.90,,,,,,,,,,,
01/01/06 13:00:00.0,-2.52,-9.92,-8.29,-7.85,-6.24,-8.65,-9.00,-0.16,-6.91,-7.16,-6.31,-7.85,-7.85,-10.38,-7.68,-5.57,,-2.90,,,,,,,,,,,
01/01/06 14:00:00.0,-0.76,-10.01,-6.57,-7.68,-6.15,-8.29,-10.01,0.58,-7.08,-6.99,-5.40,-6.65,-6.99,-11.23,-6.03,-5.91,,-2.90,,,,,,,,,,,
01/01/06 15:00:00.0,-0.91,-9.74,-5.31,-7.68,-4.58,-7.42,-10.10,1.10,-6.82,-7.50,-4.74,-5.73,-5.81,-11.04,-6.65,-6.82,,-2.90,,,,,,,,,,,
01/01/06 16:00:00.0,-0.91,-9.46,-5.48,-7.16,-4.90,-7.50,-10.19,1.17,-6.57,-8.56,-4.90,-5.73,-6.57,-10.75,-6.74,-5.64,,-2.90,,,,,,,,,,,
01/01/06 17:00:00.0,-1.67,-9.46,-7.77,-7.86,-5.64,-7.94,-10.29,1.60,-6.82,-9.83,-5.31,-6.91,-6.65,-10.56,-6.48,-7.16,,-2.90,,,,,,,,,,,
01/01/06 18:00:00.0,-3.06,-9.55,-8.65,-9.74,-6.40,-8.92,-10.56,0.73,-7.77,-10.19,-6.14,-8.29,-8.47,-10.56,-6.57,-8.03,,-2.90,,,,,,,,,,,
01/01/06 19:00:00.0,-4.74,-9.55,-9.83,-11.32,-7.08,-10.38,-10.75,0.51,-9.19,-10.56,-7.59,-9.28,-9.74,-10.19,-7.08,-9.46,,-2.90,,,,,,,,,,,
01/01/06 20:00:00.0,-5.07,-9.09,-10.01,-11.70,-7.33,-10.75,-10.75,0.88,-10.01,-10.56,-7.68,-9.00,-10.01,-10.01,-6.31,-10.01,,-2.90,,,,,,,,,,,
01/01/06 21:00:00.0,-5.31,-8.91,-9.92,-12.29,-7.85,-11.13,-11.13,0.88,-10.75,-10.29,-7.94,-9.83,-10.85,-9.74,-7.08,-10.38,,-2.90,,,,,,,,,,,
01/01/06 22:00:00.0,-4.82,-8.47,-10.94,-12.39,-8.29,-10.66,-10.85,1.10,-11.13,-9.46,-9.01,-11.42,-10.75,-9.28,-10.29,-10.66,,-2.90,,,,,,,,,,,
01/01/06 23:00:00.0,-4.58,-8.38,-10.47,-12.29,-8.12,-10.56,-9.74,0.51,-11.13,-8.56,-9.10,-11.42,-10.56,-7.85,-9.23,-10.56,,-2.90,,,,,,,,,,,
01/02/06 00:00:00.0,-3.37,-7.42,-9.28,-11.80,-8.03,-9.83,-8.92,0.87,-10.75,-7.85,-8.22,-10.01,-10.47,-7.42,-4.90,-10.01,,-2.90,,,,,,,,,,,
01/02/06 01:00:00.0,-3.29,-7.33,-8.91,-10.20,-7.85,-8.74,-7.59,1.09,-9.19,-7.76,-5.07,-7.19,-10.01,-7.25,-4.41,-9.00,,-2.90,,,,,,,,,,,
01/02/06 02:00:00.0,-2.59,-7.33,-8.47,-8.83,-7.51,-7.94,-7.25,2.89,-7.08,-7.25,-4.74,-5.81,-9.74,-7.42,-5.07,-8.47,,-2.90,,,,,,,,,,,
01/02/06 03:00:00.0,-1.59,-7.33,-7.59,-8.12,-6.40,-7.68,-7.42,3.31,-6.31,-7.08,-4.66,-5.81,-9.46,-7.85,-5.07,-7.59,,-2.90,,,,,,,,,,,
01/02/06 04:00:00.0,-1.44,-7.59,-7.85,-7.68,-6.23,-7.33,-6.82,3.31,-5.81,-7.42,-4.90,-6.14,-9.09,-8.29,-5.64,-6.74,,-2.90,,,,,,,,,,,
01/02/06 05:00:00.0,-2.52,-8.12,-7.85,-7.59,-6.48,-7.50,-6.82,2.10,-6.06,-5.98,-5.64,-6.14,-8.73,-7.00,-5.89,-6.40,,-2.90,,,,,,,,,,,
01/02/06 06:00:00.0,-3.30,-6.57,-6.57,-6.15,-6.82,-5.56,-5.98,3.31,-4.17,-6.23,-4.09,-4.49,-6.82,-6.14,-5.56,-5.32,,-2.90,,,,,,,,,,,
01/02/06 07:00:00.0,-1.82,-6.14,-5.48,-5.39,-6.06,-4.82,-5.15,3.17,-3.85,-6.31,-3.85,-4.33,-5.81,-5.81,-6.06,-4.33,,-2.90,,,,,,,,,,,
01/02/06 08:00:00.0,-1.14,-5.64,-4.98,-5.07,-6.48,-4.17,-4.82,3.88,-3.22,-5.39,-3.45,-3.85,-5.07,-5.39,-6.82,-3.85,,-2.90,,,,,,,,,,,
01/02/06 09:00:00.0,-0.39,-5.39,-4.82,-4.82,-6.48,-4.17,-4.33,4.22,-3.29,-5.73,-3.29,-3.61,-4.98,-5.23,-6.40,-3.37,,-2.90,,,,,,,,,,,
01/02/06 10:00:00.0,-0.01,-5.31,-4.74,-4.82,-6.31,-3.93,-4.33,4.71,-2.82,-5.07,-3.14,-3.37,-4.82,-4.98,-6.31,-3.37,,-2.90,,,,,,,,,,,
01/02/06 11:00:00.0,0.95,-4.82,-4.33,-3.85,-5.81,-3.45,-4.33,5.47,-2.13,-4.82,-1.82,-3.14,-4.33,-5.31,-6.14,-2.44,,-2.90,,,,,,,,,,,
01/02/06 12:00:00.0,1.89,-4.33,-4.82,-3.37,-5.40,-2.98,-4.58,6.08,-1.82,-4.58,-1.51,-2.83,-4.01,-5.31,-5.89,-1.89,,-2.90,,,,,,,,,,,
01/02/06 13:00:00.0,2.89,-4.25,-5.48,-2.98,-4.82,-2.98,-5.15,6.76,-1.59,-4.01,-1.98,-3.69,-3.85,-6.31,-5.31,-1.59,,-2.90,,,,,,,,,,,
01/02/06 14:00:00.0,3.45,-5.48,-5.56,-3.06,-4.74,-3.22,-4.82,7.03,-1.74,-3.61,-3.37,-3.85,-3.85,-6.65,-5.23,-1.90,,-2.90,,,,,,,,,,,
01/02/06 15:00:00.0,3.73,-4.09,-4.58,-1.97,-4.09,-2.05,-3.85,7.43,-0.91,-3.61,-2.51,-2.98,-2.98,-5.56,-4.58,0.14,,-2.90,,,,,,,,,,,
01/02/06 16:00:00.0,3.24,-3.69,-4.42,-2.21,-3.37,-2.51,-4.17,7.76,-1.29,-3.53,-2.05,-2.98,-3.21,-5.89,-4.33,-0.46,,-2.90,,,,,,,,,,,
01/02/06 17:00:00.0,2.82,-4.25,-4.82,-2.59,-3.45,-2.90,-3.93,7.83,-1.29,-2.59,-2.36,-3.37,-3.53,-5.73,-4.33,-1.36,,-2.90,,,,,,,,,,,
01/02/06 18:00:00.0,3.10,-3.61,-4.17,-1.59,-3.37,-2.44,-3.30,8.10,-1.06,-1.90,-1.74,-2.67,-2.98,-5.15,-3.77,-0.54,,-2.90,,,,,,,,,,,
01/02/06 19:00:00.0,2.89,-3.29,-3.37,-1.51,-2.98,-1.82,-2.13,7.83,-0.61,-1.59,-0.54,-1.74,-2.82,-4.58,-3.21,-0.24,,-2.90,,,,,,,,,,,
01/02/06 20:00:00.0,3.24,-2.59,-2.52,-1.06,-2.52,-1.36,-1.66,8.23,-0.54,-1.44,-0.16,-1.14,-2.21,-4.01,-2.52,0.14,,-2.90,,,,,,,,,,,
01/02/06 21:00:00.0,3.24,-2.44,-2.21,-1.06,-2.05,-1.06,-1.59,8.50,-0.54,-1.66,-0.01,-1.21,-1.97,-3.85,-1.97,0.22,,-2.82,,,,,,,,,,,
01/02/06 22:00:00.0,2.82,-2.75,-2.28,-1.29,-1.59,-1.06,-1.66,8.23,-0.31,-1.97,-0.16,-1.06,-2.36,-4.09,-2.05,0.14,,-2.52,,,,,,,,,,,
01/02/06 23:00:00.0,2.53,-2.98,-2.36,-1.51,-1.89,-1.44,-2.13,7.83,-0.76,-2.36,-0.24,-1.44,-2.44,-4.25,-2.05,-0.24,,-2.44,,,,,,,,,,,
01/03/06 00:00:00.0,1.89,-3.45,-2.90,-2.05,-2.13,-1.97,-2.67,7.23,-1.21,-2.44,-0.99,-2.05,-2.90,-4.82,-2.52,-0.76,,-2.44,,,,,,,,,,,
01/03/06 01:00:00.0,1.24,-4.09,-3.37,-2.67,-2.44,-2.44,-2.90,6.56,-1.44,-2.59,-1.44,-2.44,-3.37,-5.23,-2.90,-1.06,,-2.44,,,,,,,,,,,
01/03/06 02:00:00.0,1.17,-4.41,-3.61,-3.06,-2.44,-2.75,-3.21,6.08,-1.51,-2.90,-1.66,-2.75,-3.69,-5.31,-3.29,-1.36,,-2.44,,,,,,,,,,,
01/03/06 03:00:00.0,0.66,-4.90,-4.09,-3.45,-2.90,-3.21,-3.61,5.74,-1.89,-3.61,-2.05,-3.21,-4.01,-5.56,-3.61,-1.74,,-2.44,,,,,,,,,,,
01/03/06 04:00:00.0,0.07,-5.31,-4.41,-3.93,-2.90,-3.69,-4.01,4.84,-2.44,-4.58,-2.52,-3.53,-4.49,-5.81,-3.85,-2.05,,-2.75,,,,,,,,,,,
01/03/06 05:00:00.0,-1.59,-5.48,-4.98,-4.49,-3.53,-4.49,-4.58,1.67,-3.29,-5.64,-3.45,-4.49,-4.90,-5.98,-4.41,-3.06,,-2.90,,,,,,,,,,,
01/03/06 06:00:00.0,-2.36,-6.99,-6.40,-5.73,-4.82,-5.89,-5.81,1.39,-4.33,-6.31,-4.90,-5.98,-6.06,-7.16,-5.89,-4.09,,-2.90,,,,,,,,,,,
01/03/06 07:00:00.0,-3.29,-7.77,-7.33,-6.65,-5.64,-6.91,-6.99,0.80,-5.23,-6.31,-5.64,-6.82,-6.99,-8.29,-6.65,-5.07,,-3.29,,,,,,,,,,,
01/03/06 08:00:00.0,-3.85,-8.38,-7.85,-6.82,-5.81,-7.33,-7.33,0.73,-5.31,-6.31,-5.81,-6.82,-7.33,-8.38,-6.82,-5.39,,-3.37,,,,,,,,,,,
01/03/06 09:00:00.0,-3.85,-8.38,-7.85,-7.16,-6.06,-7.33,-7.33,0.73,-5.48,-6.23,-5.98,-7.08,-7.33,-8.56,-6.82,-5.73,,-3.37,,,,,,,,,,,
01/03/06 10:00:00.0,-4.09,-8.38,-7.85,-7.33,-5.98,-7.33,-7.33,0.58,-5.81,-5.81,-6.31,-7.25,-7.59,-8.91,-6.82,-5.81,,-3.37,,,,,,,,,,,
01/03/06 11:00:00.0,-3.45,-8.38,-7.85,-7.33,-5.56,-7.33,-7.33,1.02,-5.64,-5.81,-6.31,-6.91,-7.33,-8.82,-6.91,-5.56,,-3.37,,,,,,,,,,,
01/03/06 12:00:00.0,-1.82,-8.29,-7.59,-6.99,-4.34,-6.82,-7.16,1.81,-5.07,-5.23,-5.98,-6.06,-6.65,-8.38,-6.48,-5.07,,-3.37,,,,,,,,,,,
01/03/06 13:00:00.0,-1.74,-7.85,-7.42,-6.82,-3.38,-6.74,-7.16,2.60,-5.15,-5.07,-5.81,-6.31,-6.65,-8.38,-6.65,-4.90,,-3.85,,,,,,,,,,,
01/03/06 14:00:00.0,-0.91,-7.85,-7.33,-6.57,-3.53,-6.48,-6.82,3.60,-4.82,-5.31,-5.39,-6.14,-6.31,-8.38,-6.23,-4.58,,-3.85,,,,,,,,,,,
01/03/06 15:00:00.0,-0.84,-7.85,-7.33,-6.31,-3.06,-6.31,-6.82,3.52,-4.82,-5.23,-5.31,-5.98,-6.31,-8.38,-6.14,-4.50,,-3.85,,,,,,,,,,,
01/03/06 16:00:00.0,-0.39,-7.85,-7.33,-6.31,-3.69,-6.40,-6.82,3.31,-4.74,-5.56,-5.31,-6.06,-6.31,-8.29,-6.23,-4.66,,-3.85,,,,,,,,,,,
01/03/06 17:00:00.0,-0.99,-7.85,-7.33,-6.31,-4.41,-6.31,-6.48,3.66,-4.74,-7.08,-5.31,-5.89,-6.40,-7.94,-5.98,-4.58,,-3.85,,,,,,,,,,,
01/03/06 18:00:00.0,-1.75,-7.85,-7.50,-6.31,-5.40,-6.40,-6.99,3.94,-4.74,-8.20,-5.81,-6.40,-6.82,-8.38,-6.40,-4.49,,-3.85,,,,,,,,,,,
01/03/06 19:00:00.0,-4.09,-9.10,-8.47,-7.86,-6.06,-7.59,-8.56,2.46,-6.91,-7.50,-6.40,-7.85,-7.95,-9.74,-6.91,-6.07,,-3.85,,,,,,,,,,,
01/03/06 20:00:00.0,-4.58,-9.74,-9.64,-10.10,-6.48,-8.82,-9.01,2.25,-8.20,-7.42,-8.74,-8.73,-9.00,-9.74,-8.93,-8.20,,-3.45,,,,,,,,,,,
01/03/06 21:00:00.0,-3.53,-8.56,-8.38,-8.83,-6.99,-7.94,-8.38,2.03,-8.03,-8.65,-9.37,-7.85,-8.47,-9.19,-7.94,-7.33,,-3.69,,,,,,,,,,,
01/03/06 22:00:00.0,-4.66,-9.01,-8.84,-7.68,-7.16,-8.12,-8.65,1.53,-8.12,-9.46,-9.10,-9.20,-8.12,-9.83,-9.29,-6.65,,-3.85,,,,,,,,,,,
01/03/06 23:00:00.0,-5.31,-9.37,-11.13,-10.67,-7.16,-9.55,-10.01,0.66,-9.64,-9.28,-10.11,-11.32,-9.37,-8.74,-11.61,-8.65,,-3.85,,,,,,,,,,,
01/04/06 00:00:00.0,-5.39,-8.82,-11.70,-11.51,-7.50,-10.01,-10.19,0.73,-10.85,-9.09,-11.61,-11.42,-10.38,-9.01,-12.09,-10.01,,-3.53,,,,,,,,,,,
01/04/06 01:00:00.0,-5.64,-8.20,-11.51,-12.09,-7.85,-10.10,-10.01,0.58,-11.42,-9.09,-12.19,-11.61,-10.47,-7.86,-11.37,-10.01,,-3.37,,,,,,,,,,,
01/04/06 02:00:00.0,-4.74,-7.85,-10.85,-11.71,-7.33,-10.01,-9.74,1.10,-11.51,-9.09,-9.94,-10.95,-10.56,-7.59,-5.73,-10.19,,-3.37,,,,,,,,,,,
01/04/06 03:00:00.0,-4.01,-7.33,-10.10,-11.70,-6.91,-10.01,-9.00,0.66,-10.38,-9.19,-7.08,-9.83,-10.56,-7.25,-5.07,-9.64,,-3.45,,,,,,,,,,,
01/04/06 04:00:00.0,-4.09,-7.50,-9.92,-11.32,-5.89,-10.01,-8.91,-0.09,-10.01,-8.20,-7.25,-8.83,-10.47,-7.42,-4.98,-9.46,,-3.85,,,,,,,,,,,
01/04/06 05:00:00.0,-4.09,-7.50,-9.83,-10.85,-5.15,-10.01,-8.82,-0.46,-9.55,-7.76,-7.51,-8.38,-10.66,-7.68,-5.23,-9.28,,-3.85,,,,,,,,,,,
01/04/06 06:00:00.0,-3.69,-8.38,-9.19,-9.83,-4.98,-9.01,-8.20,1.67,-7.86,-7.33,-6.23,-7.94,-10.10,-7.85,-5.39,-8.47,,-3.85,,,,,,,,,,,
01/04/06 07:00:00.0,-3.45,-8.38,-8.65,-8.47,-5.48,-8.12,-7.85,1.96,-6.65,-7.33,-6.31,-7.33,-9.19,-8.82,-6.48,-7.16,,-3.85,,,,,,,,,,,
01/04/06 08:00:00.0,-3.69,-8.91,-8.38,-8.38,-6.48,-7.85,-7.85,1.46,-6.48,-7.08,-6.40,-7.33,-8.91,-9.00,-6.82,-6.82,,-4.33,,,,,,,,,,,
01/04/06 09:00:00.0,-4.33,-8.91,-8.56,-8.38,-6.82,-7.85,-7.85,0.80,-6.82,-6.57,-6.82,-7.85,-8.82,-9.46,-7.33,-6.82,,-4.82,,,,,,,,,,,
01/04/06 10:00:00.0,-4.09,-9.00,-8.38,-8.20,-7.08,-7.76,-7.85,0.73,-6.82,-6.82,-6.82,-7.42,-8.20,-9.46,-6.99,-6.65,,-4.82,,,,,,,,,,,
01/04/06 11:00:00.0,-2.21,-9.09,-8.03,-8.03,-6.06,-7.33,-8.29,0.73,-6.65,-6.31,-6.82,-7.08,-7.85,-9.55,-6.31,-6.06,,-4.66,,,,,,,,,,,
01/04/06 12:00:00.0,-0.01,-8.56,-7.08,-8.20,-5.08,-7.76,-8.03,1.74,-6.31,-5.81,-5.40,-6.06,-7.16,-9.28,-6.06,-6.40,,-4.33,,,,,,,,,,,
01/04/06 13:00:00.0,0.51,-7.59,-5.81,-7.86,-2.77,-7.50,-7.33,3.24,-5.56,-5.81,-4.09,-5.15,-5.98,-8.91,-5.23,-4.26,,-4.33,,,,,,,,,,,
01/04/06 14:00:00.0,0.44,-7.50,-5.23,-5.48,-3.93,-7.16,-6.99,3.74,-5.31,-6.31,-3.69,-4.66,-5.31,-8.91,-4.60,-2.67,,-4.01,,,,,,,,,,,
01/04/06 15:00:00.0,0.07,-8.47,-5.64,-6.40,-4.25,-6.40,-7.25,4.01,-5.23,-6.65,-4.17,-4.74,-4.98,-9.19,-6.57,-2.59,,-3.85,,,,,,,,,,,
01/04/06 16:00:00.0,-0.01,-8.91,-6.14,-7.25,-5.15,-6.74,-7.76,4.36,-5.31,-6.99,-4.90,-4.90,-5.39,-9.92,-6.99,-1.82,,-3.85,,,,,,,,,,,
01/04/06 17:00:00.0,-0.31,-8.91,-7.59,-6.99,-5.31,-6.57,-7.85,4.57,-5.48,-7.50,-5.15,-5.98,-5.07,-9.83,-6.99,-3.61,,-3.85,,,,,,,,,,,
01/04/06 18:00:00.0,-2.05,-8.91,-8.29,-7.77,-5.89,-7.25,-7.94,3.45,-6.31,-7.68,-6.23,-7.42,-7.00,-10.01,-7.33,-4.90,,-3.85,,,,,,,,,,,
01/04/06 19:00:00.0,-4.50,-9.28,-8.73,-8.83,-6.57,-8.12,-8.38,1.46,-8.12,-7.76,-6.65,-8.20,-8.38,-10.01,-7.33,-6.06,,-3.85,,,,,,,,,,,
01/04/06 20:00:00.0,-5.39,-9.46,-8.91,-8.56,-6.91,-8.91,-8.83,0.51,-9.37,-8.12,-6.91,-8.56,-8.91,-10.01,-7.33,-7.42,,-3.85,,,,,,,,,,,
01/04/06 21:00:00.0,-5.73,-9.46,-9.28,-9.09,-7.25,-9.28,-9.46,0.36,-10.29,-8.38,-6.91,-8.91,-9.19,-10.29,-7.59,-8.29,,-3.85,,,,,,,,,,,
01/04/06 22:00:00.0,-6.14,-10.01,-9.46,-10.01,-7.76,-9.74,-9.83,-0.39,-10.75,-9.19,-7.42,-9.37,-9.74,-10.56,-7.85,-8.74,,-3.85,,,,,,,,,,,
01/04/06 23:00:00.0,-5.89,-9.55,-9.46,-9.83,-8.20,-10.10,-10.38,-0.24,-11.42,-9.19,-7.86,-9.64,-10.01,-10.56,-7.85,-9.64,,-4.09,,,,,,,,,,,
01/05/06 00:00:00.0,-6.48,-10.57,-10.29,-10.38,-8.47,-10.19,-10.38,-0.16,-12.19,-9.55,-9.74,-10.85,-10.19,-10.10,-7.33,-9.83,,-4.17,,,,,,,,,,,
01/05/06 01:00:00.0,-6.99,-10.75,-8.38,-9.92,-8.73,-9.92,-10.01,-0.54,-12.39,-9.74,-11.04,-8.92,-9.74,-9.46,-5.56,-9.10,,-3.85,,,,,,,,,,,
01/05/06 02:00:00.0,-6.74,-7.78,-7.68,-9.56,-8.65,-9.19,-9.64,-1.14,-12.88,-9.92,-12.19,-8.74,-9.64,-9.01,-4.74,-9.28,,-3.85,,,,,,,,,,,
01/05/06 03:00:00.0,-6.82,-7.85,-9.28,-8.47,-7.85,-9.37,-9.01,-2.36,-13.29,-8.24,-12.09,-10.94,-9.19,-7.51,-7.79,-10.19,,-3.85,,,,,,,,,,,
01/05/06 04:00:00.0,-6.99,-6.34,-7.34,-5.15,-7.08,-8.12,-7.94,-2.67,-13.19,-3.94,-12.29,-10.85,-7.59,-6.74,-9.19,-10.56,,-3.85,,,,,,,,,,,
01/05/06 05:00:00.0,-7.25,-4.66,-6.23,-5.89,-7.59,-7.85,-8.29,-3.29,-12.88,-3.69,-12.29,-8.92,-7.08,-6.99,-7.71,-10.01,,-3.85,,,,,,,,,,,
01/05/06 06:00:00.0,-5.81,-4.01,-4.90,-3.61,-6.23,-5.82,-7.18,-3.37,-12.88,-3.14,-11.70,-6.40,-5.15,-6.06,-4.10,-7.79,,-3.85,,,,,,,,,,,
01/05/06 07:00:00.0,-2.53,-3.37,-4.17,-2.83,-5.15,-3.77,-4.82,-3.37,-11.33,-3.45,-11.13,-3.85,-4.17,-5.15,-2.36,-4.25,,-3.85,,,,,,,,,,,
01/05/06 08:00:00.0,-4.93,-3.77,-4.90,-2.13,-4.74,-3.45,-4.82,-3.37,-9.74,-3.37,-10.56,-3.77,-3.85,-4.98,-2.75,-3.85,,-3.85,,,,,,,,,,,
01/05/06 09:00:00.0,-5.40,-4.90,-5.64,-2.44,-4.82,-4.41,-5.15,-3.37,-8.56,-3.69,-10.85,-4.01,-4.17,-5.64,-3.06,-3.06,,-3.85,,,,,,,,,,,
01/05/06 10:00:00.0,-2.40,-4.66,-5.48,-2.52,-4.25,-4.01,-5.64,-3.85,-6.66,-2.90,-10.66,-3.45,-3.85,-4.98,-2.75,-2.75,,-3.85,,,,,,,,,,,
01/05/06 11:00:00.0,-0.84,-3.85,-4.01,-2.44,-2.52,-2.83,-5.15,-4.01,-4.99,-1.59,-8.84,-2.67,-2.98,-3.22,-1.06,-2.36,,-3.85,,,,,,,,,,,
01/05/06 12:00:00.0,1.23,-3.85,-2.52,-2.52,-0.32,-2.21,-4.09,-2.45,-3.46,-1.66,-5.40,-1.37,-2.13,-2.21,-0.61,-1.97,,-3.85,,,,,,,,,,,
01/05/06 13:00:00.0,1.60,-3.30,-0.99,-2.13,1.09,-1.66,-3.45,-0.31,-1.97,0.14,-2.52,-0.39,-1.14,-2.21,0.14,0.43,,-3.85,,,,,,,,,,,
01/05/06 14:00:00.0,2.67,-3.37,-0.61,-0.61,0.58,-0.69,-2.36,1.17,-0.84,0.36,-1.29,0.14,-0.76,-2.59,1.35,1.60,,-3.85,,,,,,,,,,,
01/05/06 15:00:00.0,3.17,-2.98,-0.09,-0.39,1.09,1.74,-1.82,2.10,-0.09,-1.06,-0.69,0.29,-0.31,-2.75,-0.84,2.46,,-3.85,,,,,,,,,,,
01/05/06 16:00:00.0,3.38,-2.98,0.07,-0.39,0.44,0.73,-1.06,2.25,0.21,-1.59,-0.61,1.02,-0.16,-3.21,-0.24,3.31,,-3.85,,,,,,,,,,,
01/05/06 17:00:00.0,2.53,-3.37,-1.90,-0.76,-0.16,-0.16,-1.14,2.60,-0.54,-2.05,-1.36,-0.16,-0.16,-3.29,-0.61,1.74,,-3.85,,,,,,,,,,,
01/05/06 18:00:00.0,1.24,-2.98,-2.44,-1.14,-0.76,-1.06,-0.99,1.74,-2.75,-2.44,-3.06,-1.51,-1.14,-3.69,-1.74,0.73,,-3.85,,,,,,,,,,,
01/05/06 19:00:00.0,-1.21,-2.83,-2.44,-1.36,-1.06,-1.21,-0.69,-0.84,-3.77,-1.97,-4.01,-2.36,-1.51,-3.61,-1.75,0.14,,-3.85,,,,,,,,,,,
01/05/06 20:00:00.0,-1.97,-2.44,-2.52,-1.44,-1.29,-1.29,-0.84,-1.14,-4.49,-2.52,-5.07,-3.06,-1.66,-3.69,-2.13,-0.16,,-3.85,,,,,,,,,,,
01/05/06 21:00:00.0,-2.28,-2.44,-2.44,-1.51,-1.29,-1.36,-0.76,-1.14,-4.90,-2.90,-5.56,-3.45,-1.51,-3.53,-2.75,-0.61,,-3.85,,,,,,,,,,,
01/05/06 22:00:00.0,-1.82,-2.44,-2.82,-0.69,-1.66,-1.74,-1.52,-0.54,-5.31,-2.44,-5.81,-3.69,-1.51,-3.29,-1.98,-1.29,,-3.85,,,,,,,,,,,
01/05/06 23:00:00.0,-0.31,-2.13,-3.37,0.14,-1.66,-1.66,-2.67,-0.46,-5.31,-2.90,-6.48,-4.17,-1.66,-3.14,-3.61,-1.14,,-3.85,,,,,,,,,,,
01/06/06 00:00:00.0,-0.76,-0.69,-3.30,-0.01,-1.51,-1.97,-2.67,-0.46,-5.73,-3.53,-6.23,-4.82,-1.82,-2.98,-4.25,-1.97,,-3.85,,,,,,,,,,,
